gemeindeschluessel
D1001
D1002
D1003
D1004
D1051
D1053
D1054
D1055
D1056
D1057
D1058
D1059
D1060
D1061
D1062
D2000
D3101
D3102
D3103
D3151
D3153
D3154
D3155
D3157
D3158
D3159
D3241
D3251
D3252
D3254
D3255
D3256
D3257
D3351
D3352
D3353
D3354
D3355
D3356
D3357
D3358
D3359
D3360
D3361
D3401
D3402
D3403
D3404
D3405
D3451
D3452
D3453
D3454
D3455
D3456
D3457
D3458
D3459
D3460
D3461
D3462
D4011
D4012
D5111
D5112
D5113
D5114
D5116
D5117
D5119
D5120
D5122
D5124
D5154
D5158
D5162
D5166
D5170
D5314
D5315
D5316
D5334
D5358
D5362
D5366
D5370
D5374
D5378
D5382
D5512
D5513
D5515
D5554
D5558
D5562
D5566
D5570
D5711
D5754
D5758
D5762
D5766
D5770
D5774
D5911
D5913
D5914
D5915
D5916
D5954
D5958
D5962
D5966
D5970
D5974
D5978
D6411
D6412
D6413
D6414
D6431
D6432
D6433
D6434
D6435
D6436
D6437
D6438
D6439
D6440
D6531
D6532
D6533
D6534
D6535
D6611
D6631
D6632
D6633
D6634
D6635
D6636
D7111
D7131
D7132
D7133
D7134
D7135
D7137
D7138
D7140
D7141
D7143
D7211
D7231
D7232
D7233
D7235
D7311
D7312
D7313
D7314
D7315
D7316
D7317
D7318
D7319
D7320
D7331
D7332
D7333
D7334
D7335
D7336
D7337
D7339
D7340
D8111
D8115
D8116
D8117
D8118
D8119
D8121
D8125
D8126
D8127
D8128
D8135
D8136
D8211
D8212
D8215
D8216
D8221
D8222
D8225
D8226
D8231
D8235
D8236
D8237
D8311
D8315
D8316
D8317
D8325
D8326
D8327
D8335
D8336
D8337
D8415
D8416
D8417
D8421
D8425
D8426
D8435
D8436
D8437
D9161
D9162
D9163
D9171
D9172
D9173
D9174
D9175
D9176
D9177
D9178
D9179
D9180
D9181
D9182
D9183
D9184
D9185
D9186
D9187
D9188
D9189
D9190
D9261
D9262
D9263
D9271
D9272
D9273
D9274
D9275
D9276
D9277
D9278
D9279
D9361
D9362
D9363
D9371
D9372
D9373
D9375
D9376
D9377
D9461
D9462
D9463
D9464
DD9471
DD9472
DD9474
D9475
D9476
D9477
D9478
D9479
D9561
D9562
D9563
D9564
D9565
D9571
D9572
D9574
D9575
D9576
D9577
D9661
D9662
D9663
D9671
D9672
D9673
D9674
D9675
D9676
D9677
D9678
D9679
D9761
D9762
D9763
D9764
D9771
D9772
D9773
D9774
D9775
D9776
D9777
D9778
D9779
D9780
D10041
D10042
D10043
D10044
D10045
D10046
D11000
D12051
D12052
D12053
D12054
D12060
D12061
D12062
D12063
D12064
D12065
D12066
D12067
D12068
D12069
D12070
D12071
D12072
D12073
D13003
D13004
D13071
D13072
D13073
D13074
D13075
D13076
D14511
D14521
D14522
D14523
D14524
D14612
D14625
D14626
D14627
D14628
D14713
D14729
D14730
D15001
D15002
D15003
D15081
D15082
D15083
D15084
D15085
D15086
D15087
D15088
D15089
D15090
D15091
D16051
D16052
D16053
D16054
D16055
D16056
D16061
D16062
D16063
D16064
D16065
D16066
D16067
D16068
D16069
D16070
D16071
D16072
D16073
D16074
D16075
D16076
D16077
